刺	ci3,cik3(cek3,sik3)
到	dou3
刮	gwaat3
制	zai3
剁	do2(do3,doek3)
剃	tai3
前	cin4
剌	laat6,laa1
剋	hak1(haak1)
則	zak1
削	soek3
剎	saat3(caat3)
剖	pau2(fau2)
剜	wun1(wun2)
剔	tik1,tai3
剛	gong1
剝	mok1(bok1)
剪	zin2
副	fu3,pik1
割	got3
剴	hoi2(goi1)
創	cong3,cong1
剩	sing6(zing6)
剷	caan2
剽	piu5(piu3)
剿	ziu2,caau1
劃	waak6
劈	pik1(pek3,pek6)
劇	kek6
劉	lau4
劍	gim3
劑	zai1(zai6)
力	lik6
加	gaa1(gaa3)
功	gung1
劣	lyut3(lyut6)
劫	gip3
助	zo6
努	nou5
劬	keoi4
劾	hat6
勇	jung5
勃	but6
勉	min5
勁	ging6(ging3)
勒	lak6(laak6)
務	mou6
勘	ham3(ham1)
動	dung6
勞	lou4,lou6
勳	fan1
勛	fan1
勝	sing3,sing1
募	mou6
勤	kan4
勢	sai3
勵	lai6
勸	hyun3
勻	wan4
勾	ngau1(au1,gau1)
勿	mat6
包	baau1
匆	cung1
匈	hung1
匍	pou4
匐	baak6(fuk6)
匏	paau4
匕	bei2,bei6
化	faa3,faa1
北	bak1,bui3
匙	ci4,si4
匝	zaap3
匡	hong1
匠	zoeng6
匣	haap6
匪	fei2
匯	wui6
匱	gwai6
匹	pat1
匾	bin2
匿	nik1(nik6)
區	keoi1,au1(ngau1)
十	sap6
千	cin1
卅	saa1(saa4)
午	ng5
升	sing1
半	bun3
卉	wai2(wai5)
仟	cin1
卒	zeot1,cyut3
協	hip6(hip3)
卓	coek3(zoek3)
卑	bei1
南	naam4,naa1
博	bok3
卜	buk1,baak6
卞	bin6
卡	kaa1(kaa2,kaat1,zaap6)
占	zim1,zim3
卦	gwaa3
卬	ngong4,joeng5
卮	zi1
印	jan3(ngan3)
危	ngai4
即	zik1
卵	leon5(leon2,lo5)
卷	gyun2(gyun3),kyun4
卸	se3
卹	seot1
卻	koek3
卿	hing1
厄	ak1(aak1,ngak1)
厚	hau5
原	jyun4,jyun5
厥	kyut3
厭	jim3,jim1
厲	lai6,laai6(laai3)
去	heoi3,heoi2
參	caam1(cam1),sam1,saam1
又	jau6
叉	caa1
友	jau5
反	faan2,faan1,faan3
及	kap6(gap6)
取	ceoi2
叔	suk1
受	sau6
叛	bun6
叟	sau2
曼	maan6,maan4,mun5
叢	cung4
口	hau2
可	ho2,hak1
古	gu2
右	jau6
召	ziu6,siu6,ziu1
叮	ding1
叩	kau3
叨	tou1,dou1
叼	diu1
司	si1
叵	po2
另	ling6
叫	giu3
只	zi2,zek3
史	si2
叱	cik1
台	toi4,ji4
臺	toi4
句	geoi3,ngau1(gau1)
叭	baa1
吉	gat1
吏	lei6
吐	tou3(tou2),dat6
吁	heoi1,jyu6
吋	cyun3
同	tung4
各	gok3
向	hoeng3
名	ming4,meng4(meng2)
合	hap6,gap3
吃	hek3,gat1,hat1,jaak3
后	hau6
吆	jiu1
吒	zaa3,zaa1
吝	leon6
吭	hong4,hang1
吞	tan1
吾	ng4,ngaa4,jyu4
否	fau2,pei2(pei5)
呎	cek3
吧	baa1,baa6
呃	ak1(ngak1)
君	gwan1
吠	fai6
吼	hau3(haau1,hau2)
呀	aa1(haa1)
吱	zi1,gei1
呆	ngoi4(daai1)
吳	ng4
吵	caau2
呈	cing4
呂	leoi5
吩	fan1
告	gou3,guk1
吹	ceoi1,ceoi3
吻	man5
吸	kap1
吮	syun5(cyun5,seon5)
含	ham4
吟	jam4(ngam4)
味	mei6
呵	ho1(ho2),o1
咖	kaa1(gaa3)
呸	pei1
咕	gu1
呢	nei4(nei1),ne1,ni1
咀	zeoi2,zo3
呻	san1
呷	haap3
咄	deot1(cyut3,zyut3)
咒	zau3
咆	paau4,paau3
呼	fu1
咐	fu3(fu6)
呱	gu1(waa1),gwaa1,gwaa2
呶	naau4(nou4)
和	wo4,wo6,wu4
咚	dung1
周	zau1
咋	zaa3(zaa1,zaak3,zaak6),zaa6
命	ming6(meng6)
咎	gau3,gou1
咬	ngaau5,gaau1,aau1(ngaau1)
哀	oi1(ngoi1)
咩	me1
咨	zi1
咳	kat1(koi3),haai1(hei1),hoi4
咪	mai1(mai6),mei1,mai5,miu1
哎	aai1(ai3,ngaai1,ngaai6)
哉	zoi1
咦	ji2(ji4)
哇	waa1
哂	can2(saai3)
哄	hung6(hung3),hung1
咫	zi2
咧	lit6(le2),le1,le4
咽	jin3,jit3,jin1
品	ban2
哈	haa1(haa5,haai1,kaa1)
咯	lok3(gok3,lo3),kat1,lo1,lok6
咱	zaa1
咻	jau1,heoi2
咸	haam4
唐	tong4
唁	jin6
哼	hang1,hng6
哥	go1
哲	zit3
哺	bou6(bou1)
唔	m4(ng4)
哮	haau1
哪	naa5,naa4,naa1,no4
唧	zik1(zek1)
哩	lei5,le1
哭	huk1
員	jyun4,wan4,wan6
哨	saau3
唆	so1
唉	aai1(ngaai1,ngoi1,oi1)
哦	ngo4,o4(o2)
唷	jo1
商	soeng1
啖	daam6
唳	leoi6(lai6,lit6)
啪	paa1(paak1)
啦	laa1
啄	doek3
啞	aa2(ngaa2),ak1(ngak1),aa1
啊	aa1(aa3),haa2(aa2),haa4(aa4)
啜	zyut3,cyut3
啃	hang2(han2,kang2),hang3
唱	coeng3
問	man6
唬	fu2(haak3)
啡	fei1(fe1)
啕	tou4
唯	wai4,wai2(wai5)
啤	be1(pei4)
唸	nim6,din6
售	sau6
啣	haam4(ham4)
啁	zau1,zaau1
啥	saa2(saa1)
啻	ci3
喀	kaa3(haak3,kaa1),haak1
喧	hyun1
啼	tai4
喜	hei2,ci3
喪	song3,song1
喔	o1,ak1(ngak1,ok1)
喇	laa1,laa3
喋	dip6,zaap6
喃	naam4
喳	zaa1(caa1)
喱	lei1
喝	hot3,jit3
喘	cyun2
喂	wai3(wai2,wai6)
單	daan1,sin6,sin4(sim4)
喟	wai2(faai3,wai3,wai6)
喊	haam3
唾	to3(toe3,toe5,tou3)
喲	jo1
喚	wun6
喻	jyu6
喬	kiu4
啾	zau1
喉	hau4
嗟	ze1
嗨	haai1(hei1,hoi1)
嗓	song2(song1)
嗉	sou3
嗎	maa1(maa3),maa5,maa4
嗜	si3
嗇	sik1
嗑	gaap3,hap6,haap3,ngap1
嗣	zi6
嗤	ci1
嗯	ng6,ng2
嗚	wu1
嗡	jung1
嗅	cau3(hung3)
嗆	coeng1,coeng3
嗥	hou4
嗾	sau2(zuk6)
嘀	dik6(dik1)
嘛	maa4,maa3
嗽	sok3,sau3
嘔	au2(ngau2),heoi1,au1(ngau1)
嘉	gaa1
嗷	ngou4
嘖	zaak3(zaak6,zik1)
嘟	dou1
嘈	cou4
嘗	soeng4
嘍	lau4,lau1
嘮	lou4(lou6)
嘻	hei1
嘹	liu4
嘲	zaau1
嘩	waa1(faa1,jip6,waa4)
噎	jit3
噴	pan3(fan5,pan1)
嘶	sai1(si1)
嘿	hei1,mak6
嘰	gei1
噓	heoi1
噗	pok3
嘴	zeoi2
噫	ji1,aai3(ngaai3)
嘯	siu3,cik1
噩	ngok6
噤	gam3(gam6,kam1)
噸	deon1(deon6)
噹	dong1
噪	cou3
器	hei3
噥	nung4
噱	koek6(coek3,kek6)
噙	kam4
噯	oi2(ngoi2,ngoi3,oi3),aai1
噬	sai6
噢	jyu2,o1(ou3)
嚎	hou4
嚀	ning4
嚅	jyu4
嚇	haak3,haak1
嚏	tai3(dai3)
嚕	lou1
嚮	hoeng3,hoeng2
嚨	lung4
嚥	jin3
嚷	joeng6(joeng5)
嚶	jing1
嚴	jim4
嚼	zoek3(zoek6),ziu6
囁	zip3(jip6)
囀	zyun2(zyun3)
囂	hiu1,ngou4
囈	ngai6
囊	nong4
囉	lo4,lo1,lo3
囌	sou1
囑	zuk1
四	sei3(si3)
囚	cau4
因	jan1
回	wui4
困	kwan3
囤	tyun4(teon4),deon6
囪	coeng1,cung1(tung1)
固	gu3
圃	pou2(bou2)
圈	hyun1,gyun6
國	gwok3
圍	wai4
園	jyun4
圓	jyun4
團	tyun4
圖	tou4
土	tou2
地	dei6(deng6)
在	zoi6
圭	gwai1
圬	wu1
圯	ji4
圳	zan3(hyun2)
坊	fong1,fong4
坑	haang1
址	zi2
坍	taan1
均	gwan1(kwan1),wan6
坎	ham2(ham1),ham3
圾	saap3,kap1(ngap6)
坐	zo6(co5)
坏	pui4,pui1,waai6
垃	laap6
坷	ho2,ho1
坪	ping4
坩	ham1(kim4)
坡	bo1(po1)
坦	taan2
坤	kwan1
坼	caak3
垂	seoi4
型	jing4
垠	ngan4
垣	wun4
垮	kwaa1
垢	gau3,hau4
城	sing4(seng4)
埔	bou3
埋	maai4
埃	oi1(aai1,ngaai1,ngoi1)
培	pui4,bau6
域	wik6
堅	gin1
基	gei1
堵	dou2,ze2
執	zap1
堂	tong4
堆	deoi1,zeoi1
埠	fau6(bou6)
報	bou3
堯	jiu4
堪	ham1
堰	jin2
場	coeng4
堤	tai4
堡	bou2,pou3
塞	sak1,coi3
塑	sou3(sok3)
塘	tong4
塗	tou4(caa4)
塚	cung2
塔	taap3
填	tin4,zan3
塌	taap3
塊	faai3
塢	wu2(ou3)
塵	can4
塾	suk6
境	ging2
墓	mou6
墊	din3(dim3,din2,din6,zin3),dip6
塹	cim3
墅	seoi5(seoi6)
增	zang1,cang4
墀	ci4
墳	fan4,fan5
墜	zeoi6
墮	do6,fai1
墟	heoi1
壅	jung2(jung1),ngung1
壇	taan4
壁	bik1(bek3,bik3)
墾	han2
壕	hou4
壓	aat3(ngaat3)
壑	kok3
壙	kwong3(kong3)
壘	leoi5,leot6
壞	waai6
壟	lung5
壤	joeng6(joeng5)
壩	baa3
士	si6
壬	jam4
壯	zong3,zong6,zong1
壹	jat1,jik1
壺	wu4
壽	sau6
夏	gaa2,haa6
夕	zik6
外	ngoi6
夙	suk1
多	do1
夜	je6
夥	fo2
夢	mung6,mung4
夤	jan4
大	daai6,taai3
太	taai3
天	tin1
夫	fu1,fu4
夭	jiu2,jiu1,ou2
央	joeng1,jing1
失	sat1,jat6
夷	ji4
夸	kwaa1
夾	gaap3(gap3,gep6,gip6)
奉	fung6
奇	kei4,gei1
奈	noi6
奔	ban1(ban3)
奄	jim2,jim1
奕	jik6
契	kai3,kit3(hat1,kai2),sit3
奏	zau3,cau3
奎	fui1(kwai1)
奐	wun6
套	tou3
奘	zong6,zong1(zong3)
奚	hai4
奢	ce1(se1)
奠	din6
奧	ou3(ngou3),juk1,ou2
奪	dyut6
奩	lim4
奮	fan5(fan3)
女	neoi5,jyu5,neoi6
奴	nou4
奶	naai5(naai1,naai4)
妄	mong5(mong6)
奸	gaan1
妃	fei1,pui3
好	hou3,hou2
她	taa1(ji1)
如	jyu4
妒	dou3
妨	fong4
妞	nau2(nau5)
妣	bei2
妍	jin4
妤	jyu4
妓	gei6
妊	jam6(jam4)
妝	zong1
妙	miu6
妖	jiu1(jiu2)
妥	to5(to2)
妾	cip3
妻	cai1,cai3
妹	mui6
妮	nei4
姑	gu1
姐	ze2
姍	saan1,sin1
妯	zuk6(suk6),cau1
姒	ci5
委	wai2,wai1
姆	mou5
始	ci2
姓	sing3(seng3)
姊	zi2(ze2)
妳	naai5,nei5(lei5)
姜	goeng1
姘	ping1
姿	zi1
姣	gaau2,haau4
姨	ji4(ji1)
娃	waa1
姥	lou5,mou5
姪	zat6
姻	jan1
姚	jiu4
姦	gaan1
威	wai1
娑	so1
娘	noeng4
娣	dai6(tai5,tai6)
娜	no5,no4(naa4)
娓	mei5
姬	gei1
娠	san1(zan3)
娟	gyun1
娛	jyu4
娌	lei5
娩	maan5,min5,faan3
娥	ngo4
婉	jyun2(wun2)
婆	po4
婊	biu2
婦	fu5
婪	laam4
娶	ceoi3(ceoi2)
婀	o1(ngo1,o2)
婁	lau4,leoi4
娼	coeng1
婢	pei5
婚	fan1
婷	ting4
媚	mei6(mei4)
婿	sai3
媒	mui4
媛	wun4(jyun4),jyun6
嫂	sou2
嫁	gaa3
嫉	zat6(zaat6)
嫌	jim4
媾	gau3(kau3)
媽	maa1(maa5),maa2,maa4
媳	sik1
媲	pei3(bei2)
嫡	dik1
嫩	nyun6
嫗	jyu2(jyu3)
嫖	piu4,piu1
嫣	jin1
嫦	soeng4
嫘	leoi4
嬉	hei1,hei2
嫻	haan4
嫺	haan4
嬋	sim4(sin4)
嫵	mou5(mou4)
嬌	giu1
嬴	jing4
嬝	niu5
嬪	pan4(ban3)
嬤	maa1(maa4,mo5)
嬰	jing1
嬸	sam2
孀	soeng1
子	zi2,ci4
孑	kit3(git3)
孓	kyut3
孔	hung2
孕	jan6
字	zi6
存	cyun4
孝	haau3
孜	zi1
孚	fu1
孟	maang6
孤	gu1
季	gwai3
孩	hoi4(haai4)
孫	syun1,seon3
孰	suk6
孳	zi1
孱	saan4,caan3(zaan6)
孵	fu1
學	hok6
孺	jyu4(jyu6)
孽	jit6(jip6)
孿	lyun4(syun3)
它	taa1(to1)
宇	jyu5
守	sau2,sau3
宅	zaak6
安	on1(ngon1)
完	jyun4
宋	sung3
宏	wang4
宗	zung1
定	ding6(deng6),ding3
官	gun1
宜	ji4
宙	zau6
宛	jyun2(wun2),jyun1
宣	syun1
宦	waan6
室	sat1
宥	jau6
客	haak3
宰	zoi2
家	gaa1,gu1,ze1
宴	jin3
宮	gung1
宵	siu1
害	hoi6,hot3(hot6)
容	jung4
密	mat6
寇	kau3
寅	jan4
寄	gei3
寂	zik6
宿	suk1,sau3
寒	hon4
富	fu3
寓	jyu6
寐	mei6
寞	mok6
寧	ning4(ning6)
寡	gwaa2
寥	liu4
寨	zaai6
實	sat6
寢	cam2
寤	ng6
察	caat3
寮	liu4
寬	fun1
審	sam2
寫	se2
寵	cung2
寶	bou2
寸	cyun3
寺	zi6(zi2)
封	fung1
射	se6(sik6),jik6,je6
尉	wai3,wat1
專	zyun1
將	zoeng3,zoeng1,coeng1
尊	zyun1,zeon1
尋	cam4
對	deoi3
導	dou6
小	siu2
少	siu2,siu3
尖	zim1
尚	soeng6
尤	jau4
尬	gaai3
就	zau6
尷	gaam1
尸	si1
尺	cek3,ce2
尼	nei4
局	guk6
屁	pei3
尿	niu6(seoi1)
尾	mei5
居	geoi1,gei1
屆	gaai3
屈	wat1,gwat6
屎	si2,hei1
屏	ping4,bing2,bing1
屍	si1
屋	uk1(nguk1)
展	zin2
屑	sit3
屐	kek6
屠	tou4,ceoi4
屜	tai3
屢	leoi5
層	cang4
履	lei5(leoi5)
屬	suk6,zuk1,zuk6
屯	tyun4,zeon1,seon4
山	saan1
屹	ngat6
岐	kei4
岑	sam4
岔	caa3
岌	kap1(gap6,ngap6)
岷	man4
岸	ngon6
岩	ngaam4
崗	gong1
岡	gong1
岫	zau6
岱	doi6
岳	ngok6
峙	ci5(zi6),si6
峽	haap6(hap6)
峭	ciu3
峻	zeon3
峪	juk6(jyu6)
峨	ngo4
峰	fung1
島	dou2
崇	sung4
崆	hung1
崎	kei1,kei4
崛	gwat6
崖	ngaai4
崑	kwan1(gwan1)
崩	bang1
崢	zaang1(caang4,zang1)
崔	ceoi4,ceoi1
崙	leon4
嵌	ham6(haam1,ham2,ham3)
嵐	laam4
嵩	sung1
嶄	zaam2(caam5,zaam3),caam4
嶇	keoi1
嶝	dang3
嶼	zeoi6,jyu4
嶺	ling5(leng5)
嶽	ngok6
巍	ngai4
巒	lyun4
巔	din1
巖	ngaam4(jim4)
川	cyun1
州	zau1
巢	caau4
工	gung1
巨	geoi6
巧	haau2(kiu2)
左	zo2
巫	mou4
差	caa1,caai1,ci1,co1
己	gei2
已	ji5
巳	zi6
巴	baa1
巷	hong6
巽	seon3
巾	gan1
市	si5
布	bou3
帆	faan4(faan6)
希	hei1
帘	lim4
帚	zau2(zaau2)
帖	tip3
帛	baak6
帑	tong2,nou4
帕	paak3(paa3),mat6(mak6)
帝	dai3
帥	seoi3,seot1
席	zik6
師	si1
帶	daai3
帳	zoeng3
常	soeng4
帷	wai4
幅	fuk1
帽	mou6(mou2)
幀	zing3
幌	fong2
幛	zoeng3
幣	bai6
幕	mok6
幗	gwok3
幔	maan6
幢	cong4,tong4,zong6
幟	ci3
幫	bong1
干	gon1,gon3
平	ping4(peng4)
并	bing6(bing3),bing1
年	nin4
幸	hang6
幹	gon3,hon4
幻	waan6
幼	jau3
幽	jau1
幾	gei2,gei1
序	zeoi6
庇	bei3
庚	gang1
店	dim3
府	fu2
底	dai2,dik1
庖	paau4
庠	coeng4
度	dou6,dok6
庫	fu3,se3
庭	ting4,ting3
座	zo6(zo2)
康	hong1
庸	jung4
庶	syu3
庵	am1(ngam1)
菴	am1(ngam1)
庾	jyu5(jyu4)
廊	long4
廂	soeng1
廁	ci3,cak1(zak1)
廉	lim4
廈	haa6
廓	kwok3(gwok3)
廖	liu6
廢	fai3
廚	ceoi4(cyu1,cyu4)
廟	miu6
廝	si1
廣	gwong2
廠	cong2
龐	pong4(lung4)
廬	lou4
廳	teng1(ting1)
廷	ting4
延	jin4
建	gin3
廿	jaa6(jap6,je6,nim6)
弁	bin6,pun4
弄	lung6(nung6)
弈	jik6
弊	bai6
式	sik1
弓	gung1
弔	diu3(dik1)
引	jan5
弘	wang4
弗	fat1
弛	ci2(ci4)
弟	dai6,tai5(tai6),teoi4
弦	jin4(jyun4)
弧	wu4
弩	nou5
弭	mei5(mai5)
弱	joek6
張	zoeng1,zoeng3
強	koeng4,koeng5,goeng6(koeng3)
弼	bat6
彆	bit3
彈	taan4,daan6,daan2
彌	mei4(nei4)
彎	waan1
彗	wai6(seoi6)
彙	wai6(wui6)
彝	ji4
形	jing4
彤	tung4
彥	jin6
彬	ban1
彩	coi2
彫	diu1(tiu1)
彭	paang4(bong1,pong4)
彰	zoeng1
影	jing2(jeng2)
彷	pong4,fong2
役	jik6
往	wong5
征	zing1
彿	fat1
彼	bei2
很	han2
待	doi6(daai1)
律	leot6
徊	wui4
徇	seon1(seon6)
後	hau6
徒	tou4
徑	ging3
徐	ceoi4
得	dak1
徙	saai2
徘	pui4
從	cung4,sung1(cung1),zung6,zung1(zung3)
御	jyu6,ngaa6
復	fuk6,fau6,fuk1
循	ceon4
徨	wong4
徬	pong4,bong6
微	mei4
徹	cit3
德	dak1
徵	zing1,zi2,cing4
徽	fai1
心	sam1
必	bit1
忙	mong4
忖	cyun2
忘	mong4(mong6)
忌	gei6
志	zi3
忍	jan2(jan5)
忱	sam4
快	faai3
忝	tim2(tim5)
忠	zung1
忽	fat1
念	nim6
忿	fan5(fan2),fan6
怔	zing1
怯	hip3
怵	zeot1(ceot1),seot1
怖	bou3
怪	gwaai3
怏	joeng2(joeng3)
怕	paa3
性	sing3
怡	ji4
思	si1,si3,soi1
怒	nou6
怠	toi5(doi6)
急	gap1
怎	zam2(dim2,zaam2)
怨	jyun3
恨	han6
恢	fui1
恆	hang4,gang3(gang1,gang2)
恃	ci5(si5)
恬	tim4(tim5)
恍	fong2
恫	dung6,tung1
恰	hap1(aam1)
恪	kok3
恤	seot1
恙	joeng6
恣	zi3(ci3),zi1(ci1)
恥	ci2
恐	hung2
恭	gung1
恩	jan1
恕	syu3
息	sik1,sak1
悌	dai6(tai5,tai6)
悅	jyut6
悟	ng6
悖	bui6(bui3),but6
悚	sung2
悍	hon6(hon5)
悄	ciu2(ciu5)
悔	fui3
恿	jung2(jung5)
患	waan6
悉	sik1
悠	jau4
您	nei5
惋	wun2(jyun2)
悴	seoi6
惦	dim3
悽	cai1
情	cing4
悻	hang6(hang5)
悵	coeng3(zoeng3)
惜	sik1
悼	dou6
惘	mong5
惕	tik1
惆	cau4
惟	wai4
悸	gwai3(gwai6)
惚	fat1
惑	waak6
惡	ok3(ngok3),wu3,wu1,fu1
惠	wai6
悶	mun6
悲	bei1
愜	hip3(hip6)
惰	do6
慨	koi3(koi2)
愣	ling6(ling4),leng1
惺	sing1(sing2)
愕	ngok6
惻	cak1(caak1)
惴	zeoi3(cyun2)
慍	wan3(wan2)
惱	nou5
愎	bik1(fuk1)
惶	wong4
愉	jyu4(jyu6)
愀	ciu2(cau5)
意	ji3
想	soeng2
惹	je5
愚	jyu4
感	gam2
愛	oi3(ngoi3)
愁	sau4
愈	jyu6
慎	san6
慌	fong1,fong2
慄	leot6
愾	koi3,hei3
愴	cong3(cong2)
愧	kwai3(kwai5)
慈	ci4
愿	jyun6
慇	jan1
態	taai3
慷	hong1(hong2,kong2)
慳	haan1
慚	caam4
慢	maan6
慣	gwaan3
慟	dung6
慘	caam2
慶	hing3,goeng1
慧	wai6(wai3)
慝	tik1,nik1
慕	mou6
憂	jau1
慰	wai3
慮	leoi6,lou4,luk6
慼	cik1
慫	sung2
慾	juk6
憧	cung1,zung1
憐	lin4
憎	zang1
憫	man5
憤	fan5
憬	ging2
憚	daan6
憔	ciu4
憲	hin3
憑	pang4(bang6)
憩	hei3
憊	baai6(bei6)
懍	lam5
憶	jik1
憾	ham6
懂	dung2
懊	ou3(ngou3)
懈	haai6(gaai3,haai5)
應	jing3,jing1
懇	han2
懦	no6
懣	mun6(mun5)
懲	cing4
懷	waai4
懶	laan5
懵	mung4,mung5(mung2)
懸	jyun4
懺	caam3(cim3)
懼	geoi6(geoi2)
懿	ji3
戀	lyun2(lyun5)
戈	gwo1
戊	mou6
戎	jung4
戌	seot1
戍	syu3
成	sing4(seng4),cing4
戒	gaai3
我	ngo5
或	waak6
戕	coeng4
